poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
53,"0,1,2,3","0.0137,0.0136,0.0137,0.9591","0,3,2","""簾, 風""，""人, 和, 新月, 松, 水面, 池, 煙籠, 竹, 翠柳, 蛙, 迴廊, 避暑, 題詩, 香""，""紅蕖, 金塘""","0.01,0.01,0.96"
54,"0,1,2,3","0.0187,0.0190,0.0187,0.9435","3,1,0,2","""古今, 天, 山, 淸風, 臺上, 越王, 都城, 雲""，""曠野, 畫樓""，""俯仰, 荒草""，""陳跡""","0.02,0.02,0.02,0.94"
55,"0,1,2,3","0.0142,0.6941,0.0136,0.2781","1,3,0","""光, 廣寒, 恍疑, 橫空, 水邊, 爽氣, 秋, 素影""，""人, 大江, 寺, 林, 浪, 珠""，""歸, 獨, 舟, 蘭""","0.01,0.69,0.28"
56,"0,1,2,3","0.0160,0.0162,0.0160,0.9517","2,3,1,0","""寂靜, 浮雲""，""山, 影, 松, 枝頭, 羣峯, 翠, 鶴""，""暝色, 樓閣""，""參差, 夕陽, 泉, 石, 蒼茫""","0.02,0.02,0.02,0.95"
57,"0,1,2,3","0.0139,0.0142,0.0139,0.9580","3,2,1,0","""仙, 古道, 四野, 大江, 天, 新, 斷續, 暮, 樹木, 水, 珠海, 雨""，""漁歌, 相連""，""兩岸, 牧笛""，""微茫, 難""","0.01,0.01,0.01,0.96"
58,"0,1,2,3","0.3595,0.0166,0.0164,0.6075","0,2,3,1","""獨, 石, 絲絲, 舟, 金""，""彩虹, 釣筒""，""山, 影, 殘陽, 浪, 生, 鱗""，""漁, 隱隱""","0.36,0.02,0.02,0.61"
59,"0,1,2,3","0.0138,0.0140,0.0138,0.9584","3,0,1,2","""古剎, 嫋嫋, 微風, 暮色, 歸路, 水, 無際, 煙波, 生, 竹, 行人, 鳥""，""夜, 白雲""，""柴門, 極目, 金山""，""寂靜""","0.01,0.01,0.01,0.96"
60,"0,1,2,3","0.0119,0.0119,0.0118,0.9644","2,3,0,1","""寂靜, 浮雲""，""人, 仙, 層層, 岫, 斜陽, 斷續, 松, 水, 無聲, 生, 疊疊, 竹, 雲""，""冷, 泉, 琴""，""指點, 樓臺, 花木""","0.01,0.01,0.01,0.96"
61,"0,1,2,3","0.0190,0.0184,0.0182,0.9445","3,0,1","""天, 影, 扶桑, 水, 浪, 海, 淩空, 雲, 靈""，""仰, 心, 炎""，""光""","0.02,0.02,0.94"
62,"0,1,2,3","0.3622,0.0151,0.0149,0.6079","3,0,1,2","""人, 寺, 山腰, 新月, 晴, 猿, 雨, 雲, 鶴""，""曲, 歸, 流水, 獨, 石""，""空中""，""寂靜, 潺湲""","0.36,0.02,0.01,0.61"
63,"0,1,2,3","0.5886,0.0147,0.0144,0.3823","3,0,1,2","""山, 松風, 消磨, 笑, 雲""，""半生, 塵囂, 夢, 書, 歲月, 歸, 車""，""世事, 乾坤, 人情, 漁""，""白晝""","0.59,0.01,0.01,0.38"
64,"0,1,2,3","0.9283,0.0233,0.0237,0.0247","2,3,0","""偷, 東風, 百花""，""冰, 林, 玉""，""夢, 寒, 春, 顋""","0.93,0.02,0.02"
65,"0,1,2,3","0.0208,0.0203,0.5400,0.4188","2,3,0,1","""偷, 塵埃, 江浦, 體裁""，""天, 影, 星, 翩翩, 雲""，""書""，""浪花""","0.02,0.02,0.54,0.42"
66,"0,1,2,3","0.0158,0.0151,0.0151,0.9541","3,2,0,1","""冰, 塵, 嬋娟, 影, 漠漠, 美人, 雲, 黯淡""，""暮天""，""惆悵, 惜, 朦朧, 迢迢, 金, 靑霄""，""光, 欄桿""","0.02,0.02,0.02,0.95"
67,"0,1,2,3","0.9515,0.0160,0.0163,0.0162","0,2,3,1","""他鄉, 客, 愁, 故國, 楚江, 自由, 衡陽, 雁""，""水聲, 相呼, 翺翔""，""一行, 影, 書樓""，""秋, 蘋洲""","0.95,0.02,0.02,0.02"
68,"0,1,2,3","0.4272,0.0219,0.0215,0.5295","0,3","""柔, 柳, 金, 長隄, 鵞黃""，""春光, 眉, 秋水, 翠, 臨風, 裊娜""","0.43,0.53"
69,"0,1,2,3","0.0150,0.0144,0.0143,0.9564","3,0,1,2","""人, 冰, 塵, 新, 林, 梨花, 玉容, 精神, 雪, 魂""，""家, 春, 桃李, 淚, 風""，""粉臉""，""妝""","0.01,0.01,0.01,0.96"
